framework_short_name,lot_number,salesforce_id,supplier_name
RM1043iv,4,001b000003OCdkcAAD,Methods Digital Limited
RM1043iv,1,001b000003OCdkrAAD,Net Consulting Ltd
RM1043iv,2,001b000003OCdkrAAD,Net Consulting Ltd
RM1043iv,1,001b000003OCdl3AAD,Oceans HQ
RM1043iv,2,001b000003OCdl3AAD,Oceans HQ
RM1043iv,1,001b000003OCdLCAA1,NQC LIMITED
RM1043iv,2,001b000003OCdLCAA1,NQC LIMITED
RM1043iv,1,001b000003OCdLEAA1,RAINMAKER SOLUTIONS LTD
RM1043iv,2,001b000003OCdLEAA1,RAINMAKER SOLUTIONS LTD
RM1043iv,1,001b000003OCdLmAAL,IndigoBlue Consulting Limited
RM1043iv,2,001b000003OCdLmAAL,IndigoBlue Consulting Limited
RM1043iv,1,001b000003OCdLQAA1,Mastek UK Ltd
RM1043iv,2,001b000003OCdLQAA1,Mastek UK Ltd
RM1043iv,1,001b000003OCdLvAAL,Zaizi Ltd
RM1043iv,2,001b000003OCdLvAAL,Zaizi Ltd
RM1043iv,1,001b000003OCdM1AAL,Integrella Ltd
RM1043iv,2,001b000003OCdM1AAL,Integrella Ltd
RM1043iv,1,001b000003OCdmtAAD,Viable Data Ltd
RM1043iv,2,001b000003OCdmtAAD,Viable Data Ltd
RM1043iv,1,001b000003OCdmTAAT,Talent International (UK) Ltd
RM1043iv,2,001b000003OCdmTAAT,Talent International (UK) Ltd
RM1043iv,1,001b000003OCdmYAAT,Tisski Ltd
RM1043iv,2,001b000003OCdmYAAT,Tisski Ltd
RM1043iv,1,001b000003OCdN7AAL,NTT Data UK Ltd
RM1043iv,2,001b000003OCdN7AAL,NTT Data UK Ltd
RM1043iv,3,001b000003OCdN7AAL,NTT Data UK Ltd
RM1043iv,4,001b000003OCdN7AAL,NTT Data UK Ltd
RM1043iv,1,001b000003OCdNcAAL,Engine Partners UK LLP
RM1043iv,2,001b000003OCdNcAAL,Engine Partners UK LLP
RM1043iv,3,001b000003OCdNcAAL,Engine Partners UK LLP
RM1043iv,1,001b000003OCdNmAAL,Twentysix Ltd
RM1043iv,1,001b000003OCdNxAAL,BMT Hi-Q Sigma Ltd
RM1043iv,2,001b000003OCdNxAAL,BMT Hi-Q Sigma Ltd
RM1043iv,1,001b000003OCdO1AAL,THE DEXTROUS WEB LTD TRADING AS DXW
RM1043iv,2,001b000003OCdO1AAL,THE DEXTROUS WEB LTD TRADING AS DXW
RM1043iv,1,001b000003OCdoaAAD,COMXPS Limited
RM1043iv,2,001b000003OCdoaAAD,COMXPS Limited
RM1043iv,1,001b000003OCdouAAD,Rock Kitchen Harris
RM1043iv,2,001b000003OCdouAAD,Rock Kitchen Harris
RM1043iv,3,001b000003OCdouAAD,Rock Kitchen Harris
RM1043iv,4,001b000003OCdouAAD,Rock Kitchen Harris
RM1043iv,1,001b000003OCdPrAAL,Equal Experts
RM1043iv,2,001b000003OCdPrAAL,Equal Experts
RM1043iv,1,001b000003OCdpsAAD,Infinity Works Consulting
RM1043iv,2,001b000003OCdpsAAD,Infinity Works Consulting
