URN,CustomerName,Address1,Address2,Address3,Town,County,Country,PostCode,Sector,Subsector,Active
10007018,Babcock Rosyth Defence Limited,Wood Road Rosyth Royal Dockyard,Dunfermline,Fife,Dunfermline,Fife,Scotland,KY11 2YD,Central Government,,True
10007016,Babcock (RAF Contract),Building 22 RAF Wittering,Peterborough,Cambridgeshire,Peterborough,Cambridgeshire,England,PE8 6HB,Central Government,,True
10006663,Leeds College of Art,"Jacob Kramer Building, Blenheim Walk,","Leeds,",West Yorkshire,"Leeds,",West Yorkshire,England,LS2 9AQ.,Wider Public Sector,Colleges of Higher Education,True
10006610,Bradford Court Centre,Exchange Sq Drake St,Bradford,West Yorkshire,Bradford,West Yorkshire,England,BD1 1JA,Central Government,,True
10006298,West Mercia Magistrates Courts,17 The Moorings,Oldbury,West Midlands,Oldbury,West Midlands,England,B69 2DD,Central Government,,True
10006164,Criminal Cases Review Commission,21st Floor Alpha Tower Suffolk Street Queensway Queensway,Birmingham,West Midlands,Birmingham,West Midlands,England,B1 1TT,Central Government,Executive non-departmental public body,True
10006163,Coventry University,"Priory Street,",Coventry,West Midlands,Coventry,West Midlands,England,CV1 5FB,Wider Public Sector,Universities,True
10005730,LEAP Multi Academy Trust,Brinsworth Road,Rotherham,South Yorkshire,Rotherham,South Yorkshire,England,S60 5EJ,Wider Public Sector,Academy (All Types),True
10005722,South Yorkshire Magistrates Court,Unit 9 Meadow Court Amos Road,Sheffield,South Yorkshire,Sheffield,South Yorkshire,England,S9 1BX,Central Government,,True
10004897,Interserve Defence,Buiding 276 RAF Shawbury,Shrewsbury,Shropshire,Shrewsbury,Shropshire,England,SY4 4DZ,Central Government,,True
10004797,Queen Victoria School,School Office,Dunblane,Perthshire,Dunblane,Perthshire,Scotland,FK15 0JY,Central Government,Specialist Schools,True
10003990,Mersey Care NHS Trust,Princess Dock 8 Princes Parade St Nicholas Place,LIVERPOOL,Merseyside,LIVERPOOL,Merseyside,England,L3 1DL,Wider Public Sector,Mental Health Trust,True
10003981,Liverpool Magistrates Courts,"2nd Floor Port of Liverpool Building, Pier Head",Liverpool,Merseyside,Liverpool,Merseyside,England,L3 1BY,Central Government,,True
10003939,Birkenhead Sixth Form College,"Park Road West, Claughton, Wirral",Birkenhead,Merseyside,Birkenhead,Merseyside,England,CH43 8SQ,Wider Public Sector,Colleges of Further Education,True
10003914,Uxbridge Magistrates Court,Harfield Road,Uxbridge,Middlesex,Uxbridge,Middlesex,England,UB8 1PQ,Central Government,,True
10003611,Leicestershire Magistrates Courts,Secretariat Unit Upper Bond Street,Hinckley,Leicestershire,Hinckley,Leicestershire,England,LE67 4PD,Central Government,,True
10003514,Museum of Science and Industry,Liverpool Road Castlefield,Manchester,,Manchester,,,M3 4FP,Central Government,Museums,True
10002926,Bromley County Court,College Rd,Bromley,Kent,Bromley,Kent,England,BR1 3PX,Central Government,,True
10002911,Bexley Magistrates Courts,Norwich Place,Bexleyheath,Kent,Bexleyheath,Kent,England,BA6 8NB,Central Government,,True
10002686,National Institute for Biological Standards and Control,Blanche Lane South Mimms,Potters Bar,Hertfordshire,Potters Bar,Hertfordshire,England,EN6 3QG.,Central Government,TBA,True
10002519,SODEXHO Defence Services,Logic Support Group Knollys Road,Aldershot,Hampshire,Aldershot,Hampshire,England,GU11 1PN,Central Government,,True
