URN,CustomerName,Acronym,Address1,Address2,Address3,Town,County,Country,PostCode,Sector,Subsector,Active
10581717,The Cavendish School,,Cavendish School Eldon Road,Eastbourne,East Sussex,Eastbourne,East Sussex,England,BN21 1UE,Wider Public Sector,Education,True
10581712,WSCC The Weald School,,"The Weald Community School and Sixth Form, Station Road",Billingshurst,West Sussex,Billingshurst,West Sussex,England,RH14 9RY,Wider Public Sector,Education,True
10581710,Hounslow Consortium,,Boston Manor Road,Brentford,Middlesex,Brentford,Middlesex,England,TW8 8DS,Wider Public Sector,Clinical Commissioning Group,True
10581705,Barnet Federated GPS C.I.C,,234 Burnt Oak Broadway,Edgware,Middlesex,Edgware,Middlesex,England,A8 0AP,Wider Public Sector,GP Practice,True
10581703,York Teaching Hospital Facilities Management LLP,,Wigginton Road,York,Yorkshire,York,Yorkshire,England,YO31 8HE,Wider Public Sector,TBA,True
10581697,Blue Kite Academy Trust,,"The Blue Kite Academy Trust c/o Ferndale Primary and Nursery School Wiltshire Avenue,",Swindon,Wiltshire,Swindon,Wiltshire,England,SN2 1NX,Wider Public Sector,Education,True
10581691,Ysgol Y Faenol,,Penrhosgarnedd,Bangor,Gwynedd,Bangor,Gwynedd,Wales,LL57 2NN,Wider Public Sector,Local Authority Maintained School (All Types),True
10581687,Hungerford Volunteer Force (CHAIN),,Unit 9 19 High Street,Hungerford,Berkshire,Hungerford,Berkshire,England,RG17 ONL,Wider Public Sector,Charity,True
10581683,North Cornwall Learning Trust,,"Sir James Smith's Community School,  Dark Lane",Camelford,Cornwall,Camelford,Cornwall,England,PL32 9UJ,Wider Public Sector,Academy (All Types),True
10581674,ARC PROPERTY SERVICES PARTNERSHIP LTD,,"Level 2, City Gate West, Tollhouse Hill,",Nottingham,Nottinghamshire,Nottingham,Nottinghamshire,England,NG1 5AT,Wider Public Sector,Housing Associations,True
10581476,Medicines Discovery Catapult,,Mereside Alderley Park,Macclesfield,Cheshire,Macclesfield,Cheshire,England,SK10 4TG,Central Government,Other,True
10581469,Submarine Delivery Agency (SDA),,Abbey Wood,Bristol,Gloucestershire,Bristol,Gloucestershire,England,BS34 8JH,Central Government,Executive Agency,True
10581415,NHS Leeds Clinical Commissioning Group,,,,,,,,XXXX,Wider Public Sector,Clinical Commissioning Group,True
10581401,Prime Ministers Office,,,,,,,,XXXX,Central Government,TBA,True
10581398,Northway Pre-School Playschool,,Virginia Road,Tewkesbury,Gloucestershire,Tewkesbury,Gloucestershire,England,GL20 8PT,Wider Public Sector,Local Authority Maintained School (All Types),True
10581396,British Pharmacological Society,,The Schild Plot 16 Angel Gate City Road,London,Greater London,London,Greater London,England,EC1V 2PT,Wider Public Sector,Charity,True
10581388,HMP Warren Hill,,"Grove Road, Hollesley Nr Woodbridge",Hollesley,Suffolk,Hollesley,Suffolk,England,IP12 3BF,Central Government,Prisons,True
10581383,Norwich Theatre Royal,,Theatre Street,Norwich,Norfolk,Norwich,Norfolk,England,NR2 1RL,Wider Public Sector,Charity,True
10581382,Locks Heath CommuniCare Association,,2 Locks Heath Centre Centre Way Locks Heath,Southampton,Hampshire,Southampton,Hampshire,England,SO31 6DX,Wider Public Sector,Charity,True
10581381,Sheffield City Region,,11 Broad Street West,Sheffield,South Yorkshire,Sheffield,South Yorkshire,England,S1 2BQ,Wider Public Sector,Region: Yorkshire & Humberside,True
10581380,Dentaid Ltd,,The Old Sawmills Giles Lane Landford,Salisbury,Wiltshire,Salisbury,Wiltshire,England,SP5 2BG,Wider Public Sector,Charity,True
10581379,The Royal Society,,6-9 Carlton House Terrace,London,Greater London,London,Greater London,England,SW1Y 5AG,Wider Public Sector,Charity,True
